High Court,City,States
Allahabad High Court,Allahabad,Uttar Pradesh
Andhra Pradesh High Court,Amaravati,Andhra Pradesh
Bombay High Court,Mumbai,Maharashtra
Calcutta High Court,Kolkata,West Bengal
Chhattisgarh High Court,Bilaspur,Chhattisgarh
Delhi High Court,New Delhi,Delhi
Gujarat High Court,Ahmedabad,Gujarat
Himachal Pradesh High Court,Shimla,Himachal Pradesh
Jammu and Kashmir High Court,Srinagar and Jammu, Jammu and Kashmir
Jharkhand High Court,Ranchi,Jharkhand
Karnataka High Court,Bengaluru,Karnataka
Kerala High Court,Kochi,Kerala
Madhya Pradesh High Court,Jabalpur, Madhya Pradesh
Madras High Court,Chennai,Tamil Nadu
Manipur High Court,Imphal,Manipur
Meghalaya High Court,Shillong, Meghalaya
Orissa High Court,Cuttack,Odisha
Patna High Court,Patna, Bihar
Punjab and Haryana High Court,Chandigarh,Punjab
Rajasthan High Court,Jodhpur, Rajasthan
Sikkim High Court,Gangtok,Sikkim
Telangana High Court,Hyderabad,Telangana
Tripura High Court,Agartala,Tripura
Uttarakhand High Court,Nainital,Uttarakhand
High Court for the Union Territory of Jammu and Kashmir and Ladakh,Jammu,Jammu and Kashmir
